abt298   55.251  -118.901     0.000 
abt299   55.197  -119.297     0.000 
abt300   55.054  -119.768     0.000 
abt301   57.768  -117.023     0.000 
abt302   58.037  -116.861     0.000 
abt303   54.706  -117.083     0.000 
abt304   54.446  -116.906     0.000 
abt305   54.214  -116.571     0.000 
abt306   54.321  -116.162     0.000 
abt307   54.095  -115.720     0.000 
abt315   54.102  -114.786     0.000 
abt317   54.276  -114.144     0.000 
abt318   54.608  -113.353     0.000 
abt319   55.142  -117.144     0.000 
abt320   55.337  -116.675     0.000 
abt321   54.403  -115.561     0.000 
abt322   54.796  -115.258     0.000 
abt500   53.348  -112.969     0.000 
aet88_10   49.741  -117.058     0.000 
bca009   49.288  -117.674     0.000 
bca010   49.166  -116.651     0.000 
bca109   49.739  -117.493     0.000 
bca210   49.928  -116.969     0.000 
bca309RR410   50.400  -117.888     0.000 
bca310   50.370  -117.015     0.000 
bca409RR410   50.763  -117.744     0.000 
bca410   50.820  -117.184     0.000 
bhn001combined   51.633  -114.753     0.000 
bhn002combined   51.559  -115.056     0.000 
bhn003combined   51.276  -115.055     0.000 
clw012   51.915  -114.548     0.000 
dun-86_5   49.406  -115.809     0.000 
duncan_23   49.146  -115.565     0.000 
duncan_38   49.233  -114.229     0.000 
emr87_16   49.601  -116.662     0.000 
emr87_20   49.676  -116.338     0.000 
emr87_23   49.634  -116.145     0.000 
emr87_24   49.761  -115.663     0.000 
emr87_26   49.508  -117.702     0.000 
emr87_5   49.622  -117.131     0.000 
emr87_9   49.742  -116.676     0.000 
flat_4   49.104  -114.490     0.000 
kooc1_1   48.994  -114.959     0.000 
kooc1_14   48.930  -115.323     0.000 
kooc9_14   48.221  -115.974     0.000 
kooc9_15   48.238  -114.990     0.000 
lab010   57.371  -112.986     0.000 
lab015   57.893  -112.988     0.000 
lab110   55.334  -111.275     0.000 
lab135   57.578  -111.508     0.000 
lab140   57.875  -111.391     0.000 
line100e_11   49.616  -119.550     0.000 
line100e_2   49.616  -118.315     0.000 
line100e_4   49.421  -118.730     0.000 
line100e_5   49.596  -118.920     0.000 
line100w_2   49.807  -120.181     0.000 
line100w_4   49.793  -119.505     0.000 
line10_5   50.232  -119.807     0.000 
line10s_1   49.776  -118.784     0.000 
line10s_10   49.530  -119.783     0.000 
line10s_13   49.563  -120.153     0.000 
line10s_5   49.707  -119.211     0.000 
line200_2   49.843  -119.778     0.000 
line200_4   50.059  -119.808     0.000 
line500_3   50.353  -119.544     0.000 
line500_6   50.391  -119.142     0.000 
line5_4   49.726  -117.983     0.000 
line6_1   49.965  -118.083     0.000 
line6_9   50.407  -118.056     0.000 
line7-9_10   50.191  -118.759     0.000 
line7-9_13   50.135  -119.074     0.000 
line7-9_6   50.283  -118.448     0.000 
line700_4   50.365  -117.514     0.000 
line800_1   49.658  -115.879     0.000 
line800_10   49.604  -114.466     0.000 
line800_11   49.609  -114.223     0.000 
line800_12   49.588  -114.002     0.000 
line800_13   49.630  -113.830     0.000 
line800_5   49.661  -115.397     0.000 
line800_7   49.636  -115.072     0.000 
line800_9   49.636  -114.695     0.000 
nab017   56.907  -115.977     0.000 
nab018   56.879  -116.481     0.000 
nab021   57.136  -117.727     0.000 
nab022   57.171  -118.147     0.000 
nab023   57.278  -118.406     0.000 
nab024   57.293  -118.744     0.000 
nab025   57.338  -119.063     0.000 
nab026   57.389  -119.396     0.000 
nab027   57.351  -119.697     0.000 
nab028   57.321  -120.007     0.000 
nab11   57.356  -115.381     0.000 
nab12   57.219  -115.143     0.000 
nab14   56.832  -115.250     0.000 
nab15   56.623  -115.347     0.000 
nab3   56.103  -115.295     0.000 
nab5   56.333  -115.340     0.000 
nab6   58.348  -115.943     0.000 
nab7   58.224  -115.711     0.000 
nab745   58.587  -115.208     0.000 
nab8   57.888  -115.545     0.000 
nab810   59.107  -118.480     0.000 
nab815   59.123  -118.101     0.000 
nab820   59.211  -117.505     0.000 
nab835   59.141  -116.853     0.000 
nab840   59.135  -116.633     0.000 
nab875   58.635  -110.525     0.000 
nab9   57.746  -115.346     0.000 
nab910RR915   59.880  -112.599     0.000 
nab935RR940   59.642  -111.446     0.000 
nab944RR940   59.031  -111.440     0.000 
rdc010   53.953  -114.289     0.000 
rdc030   53.723  -113.552     0.000 
rdc065   53.383  -112.234     0.000 
rdc075   53.272  -111.952     0.000 
rdc090   53.109  -111.495     0.000 
rdc100   53.004  -111.138     0.000 
rdc110   52.946  -110.722     0.000 
rdc120   52.816  -110.355     0.000 
sab001   49.117  -114.000     0.000 
sab005   49.447  -114.086     0.000 
sab010   49.817  -114.164     0.000 
sab015   50.222  -114.182     0.000 
sab020   49.944  -113.064     0.000 
sab025   50.138  -113.133     0.000 
sab030   51.246  -113.927     0.000 
sab035   51.424  -113.540     0.000 
sab040   49.982  -112.677     0.000 
sab045   49.978  -112.255     0.000 
sab050   50.583  -114.252     0.000 
sab055   50.914  -114.221     0.000 
sab060   51.366  -114.171     0.000 
sab065   51.792  -114.312     0.000 
sab070   51.543  -113.518     0.000 
sab075   50.608  -113.804     0.000 
sab080   50.895  -113.637     0.000 
sab085   51.056  -113.731     0.000 
sab090   51.438  -113.791     0.000 
sab095   50.440  -112.929     0.000 
sab100   50.674  -113.120     0.000 
sab105   51.253  -113.233     0.000 
sab110   51.846  -113.446     0.000 
sab115   50.509  -112.590     0.000 
sab117   50.649  -112.758     0.000 
sab120   51.061  -112.910     0.000 
sab125   51.808  -113.058     0.000 
sab130   50.809  -112.313     0.000 
sab140   51.459  -112.572     0.000 
sab145   51.722  -112.509     0.000 
sab150   50.766  -111.657     0.000 
sab155   51.318  -112.187     0.000 
sab160   51.608  -111.972     0.000 
sab165   51.263  -111.807     0.000 
sab170   51.593  -111.547     0.000 
sab175   50.298  -111.165     0.000 
sab180   50.138  -110.344     0.000 
sab185   50.645  -111.135     0.000 
sab190   50.658  -110.477     0.000 
sab195   51.067  -110.935     0.000 
sab200   52.171  -112.903     0.000 
sab204   52.259  -112.374     0.000 
sab210   51.990  -112.385     0.000 
sab215   52.014  -111.874     0.000 
sab220   52.316  -111.576     0.000 
sab225   52.005  -111.380     0.000 
sab230   52.140  -110.899     0.000 
sab240   51.211  -110.488     0.000 
sab245   51.525  -110.921     0.000 
AER001_edited_10-Mar-2023   55.834  -114.159   624.700 
AER002_edited_10-Mar-2023   56.962  -113.598   593.800 
AER003_edited_10-Mar-2023   56.632  -113.535   520.500 
AER004_edited_10-Mar-2023   56.650  -114.025   758.600 
AER005_edited_10-Mar-2023   56.359  -114.457   703.000 
AER006_edited_10-Mar-2023   56.369  -113.661   561.500 
AER007_edited_10-Mar-2023   55.784  -115.950   712.000 
AER008_edited_10-Mar-2023   56.762  -114.628   726.400 
AER009_edited_10-Mar-2023   57.189  -114.456   645.000 
AER010_edited_10-Mar-2023   56.153  -115.930   716.000 
AER011_edited_10-Mar-2023   57.566  -111.933   815.900 
AER012_edited_10-Mar-2023   57.881  -112.418   648.200 
AER013_edited_10-Mar-2023   57.787  -111.943   855.000 
AER014_edited_10-Mar-2023   57.291  -112.301   566.000 
AER015_edited_10-Mar-2023   57.873  -113.477   536.000 
